67,48,17,7,84,25,1,5,22,55,89,32,51,100,95,54,56,65,93,33,96,9,19,8,15,17,50,29,86,12,35,96,94,33,73,21,24,24,77,95,41,10,1,33,89,99,19,60,32,89,14,45,14,25,25,30,18,38,28,17,72,57,3,43,87,35,91,45,31,54,8,88,68,63,94,19,21,10,78,48,69,94,72,82,74,63,59,67,51,21,41,9,14,20,80,45,83,77,4,24
18,60,31,79,42,8,69,39,48,87,60,77,79,9,65,5,34,60,49,51,41,48,24,57,57,64,83,97,35,93,52,29,44,6,25,66,24,67,88,90,12,38,71,95,22,55,43,28,22,81,99,43,74,4,34,71,39,71,80,29,43,68,56,53,100,58,97,37,25,38,56,46,93,6,33,19,59,82,26,4,59,8,58,91,92,64,14,33,58,28,21,5,75,92,83,48,2,60,11,63
2,71,88,43,100,38,18,29,61,26,86,35,9,85,39,23,68,28,22,50,50,93,83,8,4,98,56,96,1,84,23,82,71,59,18,84,36,35,37,6,81,1,73,33,84,29,86,49,86,30,86,70,52,49,44,56,50,14,36,43,27,86,24,92,58,49,74,27,10,72,34,69,26,57,95,26,41,17,19,24,5,52,6,72,54,53,22,29,63,6,40,56,88,64,31,38,12,47,29,25
66,13,95,95,80,10,11,89,79,26,20,35,43,33,22,94,67,44,96,2,60,25,94,24,20,100,33,31,11,20,2,6,71,87,96,73,77,78,22,3,36,72,5,16,6,92,67,52,6,50,74,89,34,56,13,70,50,90,9,59,62,27,39,63,38,17,36,80,2,84,88,85,41,3,10,28,19,72,52,54,36,77,26,11,98,31,84,7,33,48,77,91,50,15,20,21,69,48,23,38
54,10,38,72,45,24,22,97,49,12,97,43,11,75,77,76,89,92,94,76,77,11,19,36,30,81,42,29,73,88,5,73,72,29,41,74,13,43,46,50,44,8,80,81,57,97,37,14,93,46,19,24,33,46,92,86,21,10,68,23,1,13,7,43,43,87,95,82,51,68,7,50,21,51,73,33,81,46,16,9,33,91,2,48,82,60,15,5,10,72,23,17,82,34,85,60,87,91,7,85
78,43,74,33,73,80,61,62,65,33,68,70,66,26,98,100,12,29,17,66,63,11,9,6,81,73,38,4,91,26,97,55,19,48,14,19,61,8,52,74,81,93,56,60,78,24,24,35,80,87,61,85,86,30,29,5,61,100,25,73,24,40,77,67,64,55,87,17,56,56,35,74,91,45,47,36,58,84,65,31,16,54,75,55,2,18,86,65,17,46,28,94,100,79,12,33,26,34,39,94
61,14,10,8,86,11,99,85,34,99,38,5,50,60,32,7,7,50,50,65,41,26,41,9,31,64,50,41,71,16,55,71,24,33,4,65,37,53,100,80,81,93,46,2,6,55,93,50,43,5,11,34,38,4,60,72,93,21,62,93,50,69,60,38,58,73,43,6,5,32,11,89,15,7,51,3,59,62,2,21,28,28,70,37,50,43,30,95,3,51,53,26,28,36,29,25,84,65,81,89
96,24,78,46,99,58,100,63,2,88,16,76,71,10,53,30,30,12,97,20,41,55,4,65,92,6,36,48,31,25,20,19,28,3,60,8,97,31,87,68,68,94,61,64,10,79,10,64,90,77,44,42,34,7,39,77,71,39,68,73,41,49,30,40,37,33,87,93,60,91,12,12,51,35,66,92,95,82,69,10,90,64,95,15,90,98,3,65,61,94,80,93,35,14,99,93,11,35,31,49
4,16,97,98,18,62,36,72,4,63,14,87,90,59,88,79,99,67,83,7,7,67,99,24,81,98,62,72,97,74,100,10,77,69,35,81,79,47,85,55,92,34,21,29,94,61,25,14,84,11,31,41,20,84,20,73,35,74,68,71,88,92,17,44,31,59,71,12,16,72,96,35,92,32,99,50,48,43,29,12,71,80,16,53,26,10,15,74,66,66,20,19,30,12,97,64,59,64,85,35
5,16,51,41,13,42,72,60,26,83,79,11,89,20,72,20,91,40,71,7,93,20,34,4,74,50,42,81,77,33,43,21,37,38,65,47,82,63,53,45,42,85,94,43,99,50,10,47,59,33,39,58,29,7,92,11,49,76,57,62,39,67,71,10,87,39,44,2,23,51,60,99,50,100,90,23,63,100,56,11,80,30,82,10,61,78,40,85,65,32,79,4,27,98,44,78,34,56,37,54
1,58,74,15,38,79,84,38,68,70,100,45,15,16,20,93,13,53,88,80,31,15,35,68,60,97,2,13,12,30,46,97,97,24,40,13,97,83,40,4,78,39,54,78,66,94,60,14,24,50,86,46,47,43,87,46,94,38,14,99,66,16,88,77,84,54,5,77,54,57,66,55,1,68,56,1,4,48,52,9,67,86,40,2,93,57,78,99,70,93,25,57,95,45,27,60,32,26,69,36
49,77,50,13,86,45,6,68,74,50,42,29,61,46,73,49,9,6,19,9,81,7,70,25,3,97,54,16,54,75,21,13,27,97,56,12,83,34,90,81,41,93,55,58,44,85,86,79,71,38,95,85,100,55,10,59,40,29,77,43,17,88,35,39,26,45,74,62,5,23,63,79,40,48,84,40,49,58,47,78,76,73,22,10,4,12,61,26,24,18,39,31,73,49,32,2,99,7,57,29
11,30,94,54,92,6,83,56,100,94,62,72,84,75,89,26,78,60,55,84,78,33,53,79,66,50,65,94,42,33,24,41,16,53,2,38,15,2,66,17,58,17,23,85,92,2,42,35,13,87,46,1,1,63,59,3,71,40,95,67,92,75,69,1,9,84,16,39,99,57,84,70,20,70,93,9,21,30,51,48,15,4,27,16,24,6,94,69,68,86,26,89,90,77,10,75,74,9,2,29
62,34,37,7,7,73,74,10,27,18,57,48,55,22,72,53,84,98,10,30,86,70,16,14,39,93,37,24,51,40,61,44,87,59,27,51,38,64,100,8,66,58,54,96,44,50,2,2,20,80,45,19,32,1,14,70,90,96,58,27,3,11,25,25,37,7,98,38,85,27,2,53,65,1,48,8,27,38,22,72,58,99,72,58,96,70,10,57,75,14,9,91,21,46,90,17,91,7,52,88
98,21,39,17,60,47,22,77,8,10,21,7,5,33,11,74,17,59,62,47,51,10,42,72,9,20,87,51,91,5,37,41,5,60,24,31,48,14,10,13,21,29,53,79,90,16,60,12,21,90,59,86,57,84,85,75,20,43,1,65,42,49,36,75,82,16,14,25,79,30,98,26,82,70,46,41,69,94,69,31,13,58,30,34,72,21,76,4,98,28,20,44,6,46,19,40,36,66,78,30
39,12,78,15,58,44,87,14,17,98,95,53,31,30,100,86,37,11,39,95,65,13,63,36,8,30,89,16,65,77,68,7,50,92,37,61,96,81,18,7,72,98,10,83,94,47,52,75,20,59,35,98,41,73,76,59,41,18,99,47,29,19,17,47,87,79,16,78,55,55,52,82,65,35,49,60,32,74,59,16,78,45,81,45,46,98,40,58,73,69,4,5,53,29,92,14,33,81,64,59
98,21,16,53,57,100,4,88,8,91,71,100,26,33,40,57,17,28,22,43,32,79,47,65,18,31,99,83,97,74,50,87,38,38,40,52,62,89,65,88,61,55,26,94,17,20,59,72,52,38,50,20,96,1,50,71,96,14,19,78,99,70,21,13,5,92,97,97,95,68,21,19,9,42,10,44,27,75,19,83,70,84,20,56,12,17,91,29,18,54,58,19,71,84,48,77,76,19,55,41
88,7,15,99,80,12,81,69,3,69,53,36,86,75,96,92,82,98,5,73,56,32,39,17,4,9,68,69,98,42,18,16,84,8,37,14,89,43,78,15,100,10,37,37,9,19,40,23,73,61,66,69,31,2,22,23,89,14,51,35,85,40,19,42,75,23,81,55,53,34,48,55,98,100,76,21,72,17,81,18,41,72,12,56,11,5,49,95,61,37,5,28,95,100,73,86,53,22,75,2
35,20,46,20,50,2,21,15,88,48,1,19,11,15,17,100,51,63,26,2,87,81,72,46,92,22,61,20,94,45,6,62,77,93,64,35,38,21,34,85,11,59,37,82,9,21,44,79,16,17,86,42,61,18,1,37,60,42,12,53,8,99,60,82,93,21,17,67,66,19,22,48,17,33,37,70,10,53,43,37,9,5,32,55,34,51,6,89,13,56,72,51,93,69,37,65,98,69,7,64
3,91,50,34,10,18,65,94,29,94,55,15,32,74,16,9,68,90,55,21,82,39,31,76,8,83,87,88,96,19,35,48,41,73,83,67,17,44,94,77,40,76,86,42,100,41,87,82,28,15,24,78,35,74,61,17,62,34,18,37,60,26,86,74,26,97,26,45,53,75,41,45,38,90,81,5,45,67,77,73,52,56,23,100,89,42,25,83,3,92,58,50,52,33,98,94,46,53,47,40
58,37,89,44,43,92,95,52,48,49,77,59,65,61,70,29,81,66,37,52,76,32,54,67,72,27,53,15,27,24,15,8,18,85,98,42,34,47,62,43,83,44,51,98,28,14,18,61,29,30,56,80,10,90,21,2,50,44,35,32,6,30,90,82,45,70,99,15,61,34,99,17,57,50,8,23,26,47,54,70,6,75,89,40,64,76,71,77,39,89,56,20,39,74,46,97,40,13,57,39
38,64,34,19,18,27,11,34,29,52,43,38,61,13,45,45,36,35,26,14,25,40,93,28,82,98,48,64,25,41,4,64,65,81,71,69,71,95,69,36,23,98,71,34,7,20,63,13,29,86,31,74,21,71,3,24,2,23,6,82,23,98,45,50,29,34,19,63,90,72,70,85,20,28,20,35,78,78,79,49,3,11,77,58,84,97,85,35,55,55,79,69,25,9,34,42,43,65,42,58
44,50,21,28,61,34,41,46,13,66,97,92,97,70,7,76,56,5,40,59,87,98,53,84,44,65,23,2,3,16,6,25,85,63,44,63,83,16,25,3,7,26,48,69,55,90,17,77,57,22,83,91,67,94,41,93,97,51,4,75,77,32,46,80,32,39,9,32,35,7,74,17,51,31,97,18,21,72,11,2,12,81,77,80,25,9,53,45,6,25,100,63,66,84,69,81,78,26,5,27
75,31,11,20,17,25,14,79,29,15,99,63,21,4,92,5,56,61,53,79,58,86,6,60,54,33,62,4,85,21,85,21,35,86,49,52,2,41,72,41,74,98,7,6,77,22,48,77,58,85,52,60,42,33,98,18,62,23,8,76,79,56,28,93,61,83,43,40,25,68,61,29,19,59,68,31,63,33,48,7,30,11,65,57,93,33,79,39,43,89,39,80,50,75,44,73,50,75,7,28
38,28,39,66,12,82,21,87,16,40,6,22,28,98,46,47,85,17,84,17,78,12,43,39,55,42,53,8,41,88,37,73,51,25,98,61,86,35,88,21,67,79,6,20,61,47,8,43,58,10,51,99,74,67,73,97,24,91,67,8,88,77,13,61,94,99,12,79,22,64,66,100,92,38,54,19,51,2,73,80,14,22,29,94,24,90,47,91,79,30,93,59,81,67,88,25,51,90,78,30
71,72,4,81,37,34,31,62,32,46,13,56,70,62,68,3,10,74,5,64,29,71,68,36,89,68,28,9,82,65,57,43,79,42,56,1,57,56,69,39,57,92,98,24,21,36,76,84,28,85,95,11,30,96,47,28,4,38,42,87,42,22,58,69,84,80,58,26,64,94,38,26,84,49,23,42,27,20,46,22,71,43,43,36,73,22,21,11,57,16,94,36,21,79,6,39,34,32,3,33
74,16,22,29,52,14,35,75,72,17,30,65,82,67,61,94,1,43,17,97,1,99,72,3,8,63,34,19,20,88,90,61,89,76,51,4,65,75,51,19,83,33,100,86,24,86,62,86,33,66,4,28,5,28,30,84,99,47,5,89,44,85,6,100,32,57,67,39,84,17,68,91,63,19,46,6,1,27,96,73,16,92,81,83,60,76,64,60,23,21,53,6,70,12,16,41,54,47,26,88
21,37,43,77,53,71,10,40,18,7,98,14,25,100,46,52,38,10,76,19,46,44,11,4,18,26,56,38,88,61,67,85,37,48,77,61,33,4,68,25,51,7,22,57,58,21,1,98,19,60,50,14,53,64,7,84,100,63,7,29,63,11,61,56,82,53,82,15,62,74,39,59,68,67,43,83,98,13,20,99,7,24,71,3,62,96,70,44,95,65,15,7,66,12,38,78,72,90,47,38
24,65,76,47,50,42,81,17,2,100,56,52,93,31,88,3,29,14,96,82,86,1,61,11,44,22,90,97,1,39,9,88,20,96,44,4,62,43,67,8,90,32,27,15,8,72,52,99,93,35,10,24,78,31,66,72,79,54,36,90,16,76,20,56,35,5,6,39,29,9,91,36,79,91,76,99,45,6,56,93,64,53,97,77,93,30,15,37,8,56,27,30,43,33,10,3,53,48,88,29
37,77,87,7,54,54,70,34,20,100,42,89,22,94,18,7,47,61,44,46,25,6,79,31,4,44,6,85,19,44,26,27,73,9,48,40,89,42,16,91,73,57,84,5,7,57,65,79,66,92,6,17,2,51,61,65,66,10,29,96,76,26,17,99,73,49,23,59,7,50,97,91,73,32,46,52,52,86,77,18,18,32,76,99,85,61,87,75,38,30,45,5,89,30,92,5,100,17,28,15
2,72,7,87,39,31,81,29,60,32,98,39,41,14,9,68,71,73,92,27,53,96,26,40,13,79,45,45,83,67,7,98,45,6,40,55,79,60,43,60,35,43,42,74,71,7,21,63,5,78,54,14,22,89,50,13,47,75,22,71,70,39,57,12,30,25,77,91,10,79,88,21,31,50,20,23,81,54,63,79,88,92,22,59,51,43,19,46,96,4,15,44,27,33,46,83,88,58,73,43
72,50,79,22,11,56,62,60,65,30,90,64,53,36,8,82,35,80,55,89,89,74,72,60,19,97,8,18,86,21,36,18,20,19,63,64,84,36,60,67,77,12,65,22,33,3,65,98,42,45,51,69,25,60,14,23,68,29,99,49,40,83,60,100,99,12,64,48,18,41,8,33,100,25,40,20,30,7,82,80,56,45,89,97,6,64,76,8,11,49,50,23,22,6,66,2,33,83,28,65
