28,18,86,6,11,18,63,62,33,53,11,62,67,48,94,84,2,40,73,37,61,26,18,98,21,4,57,19,26,94
44,74,9,9,14,69,23,40,4,82,23,19,17,89,39,68,13,60,92,75,86,5,93,10,98,93,56,41,90,77
7,48,91,31,10,91,14,41,20,26,5,15,18,68,95,18,46,78,38,49,13,85,2,81,15,96,27,2,75,20
13,21,33,67,91,26,24,80,55,16,5,80,86,31,11,23,45,2,35,34,29,50,15,40,82,40,83,56,72,87
71,35,1,73,59,64,81,31,28,70,71,38,58,74,71,64,70,45,98,59,62,49,72,6,49,87,62,67,61,6
37,27,93,40,21,94,59,60,66,72,15,92,89,13,53,64,7,63,50,71,54,62,53,88,25,27,57,49,50,31
83,19,10,91,1,29,83,34,23,16,47,81,6,2,13,87,26,10,75,8,70,40,33,74,60,24,74,82,99,70
74,23,98,59,6,86,87,16,29,1,96,71,55,29,63,86,40,70,12,4,52,2,37,2,52,55,78,84,15,35
86,54,79,56,5,29,13,21,10,90,17,32,28,81,48,75,79,24,70,26,84,23,51,41,51,93,56,71,17,74
99,39,74,94,32,93,91,54,39,53,22,78,35,28,92,16,66,17,72,55,57,71,88,82,97,46,96,70,78,27
12,55,79,100,79,43,15,62,78,32,43,8,66,79,16,7,56,58,41,72,98,83,69,60,82,28,82,70,7,31
98,96,45,77,28,24,48,85,39,65,89,59,59,31,64,15,10,2,93,6,68,85,36,84,42,6,18,35,84,19
3,40,99,32,17,51,40,76,63,1,1,36,64,23,98,23,46,32,85,88,66,79,56,79,10,29,75,100,52,76
88,80,14,72,91,75,66,68,4,60,44,86,57,8,17,89,93,19,19,26,59,91,2,69,61,54,54,100,2,87
46,76,2,81,48,22,77,20,71,9,37,41,58,15,35,59,77,26,51,90,21,31,17,59,67,36,99,75,95,33
76,71,9,38,32,20,78,41,96,16,6,17,15,53,46,25,88,71,62,18,87,28,51,96,95,64,39,1,14,28
48,3,40,99,49,6,34,92,94,4,45,58,8,71,94,5,29,74,33,95,76,28,86,43,16,15,5,82,90,26
27,85,5,87,17,30,46,84,6,30,82,92,77,98,86,68,15,86,41,10,87,42,96,89,89,20,25,2,24,25
82,22,21,87,23,10,100,39,12,62,65,16,81,75,35,11,45,53,40,19,74,70,62,69,69,70,69,1,98,88
43,54,89,100,73,63,7,61,42,74,17,84,67,2,8,38,23,80,61,71,1,40,16,71,65,58,15,43,90,53
11,96,29,84,21,66,76,95,66,79,9,88,39,66,26,20,73,37,47,5,36,45,82,72,28,56,18,1,76,47
10,39,68,98,48,59,49,83,4,87,21,87,44,98,9,96,58,29,49,41,100,63,33,100,66,4,82,62,55,97
